level,title,sha256,md5,max_score,rateave,hardrec,difficulty
★1,AcceptAdvent-Border of Life-(★1),3547ad57f69ae89bbc5316df867b734adf251844b03dac6686524f648465a6bf,f0a77e53609afe9607053e612c490a85,3320,98.5165,5.36,5
★1,Akasagarbha └(┐┘)┌,e672f7a3ded524b354725d2b0565b5cd28fd7ae1e250acdfd42536a173e96c56,cbc08ef2b41334af24e7ddd8e350d7f8,3000,98.9417,3.85,2
★1,aliceblue (Radio Edit) (SP EX),41ee09a70ca42991b1eb27b8f17ffffb301f2cd16297943819cf6c321a285eef,dbe5b5890e751aefbbee6187797b6e66,3400,99.2941,3.12,2
★1,AltMirrorBell Another,e2bb0a8d5c2901c334aae7667d1c387dfa030054194a79d69d37c8f44ba550bc,0d1a3240230a854d05877f0d523a1409,3400,94.1765,8.41,15
★1,Arcadia -★1-,bc8a9e0910154d414dbe75bef0f3f5b7fb44899bb234406d4755ed03674bcc69,f4c17f83cb7ba7ed6872ed001b5336e6,3300,98.5682,4.86,3
★1,Armais(u7),db2cdb3b0e8bf422700a5f74b21d71badb0b26901dfeae41fb28f649c55d5e1e,4bbdcf1a6299f13a91e99a5475f92c66,2462,99.7258,4.68,1
★1,BB BLOW(7key another),989f48ac98d798feb1417537115678d9f57d866ddd5d4cdf1188b00678bdf008,956fc170981b450f6f2dace30aa36d01,3502,99.1291,4.35,3
★1,Bird Sprite -D.K.R. mix- (虎のanother),b2f9dffccece57c49bc9c25e56e5c139a0a7f47c96dd0b7ae9da06f1941081bf,12c06f4353bb52bfe9a859d9765f9664,3094,99.0546,3.45,3
★1,Caelumize [SP Cloudy],5c0373057264535a02824f2a243fe4ecfa5992917f33720cf4978e7aa722d3f4,8f45b0c970e183550ebfdddc5db8472c,2932,98.6272,4.58,3
★1,Canon (blazing summer mix) [EXTRA],571a7cc094fa77b80a476bce266b24378398fcab0737e19d05797742ac63112e,4b2ef6fdb08c645bf82e5ee1c78737ae,3220,99.6972,1.73,1
★1,CG901B -7EX-[Short Ver.]BGA+,a558a6b9ac12ea6c24cdcfc26106e5cc090b4759e40c9d79fd13249c7afd5a91,605e2c5ce2ac8a51e264e7adc9774aa0,3162,98.9642,3.61,3
★1,Crossover (Chain mix),f3b35970e3c2a10236502ed4b115c4d82221f3446ba2980895209fc8fac9594f,8104bc6b3580ec33e2f8a425488f0d5f,3200,97.2891,3.23,9
★1,CYCLONE [EX],3f0ca68fcd07b238de6dae5fd97dea2d559567b9e91391030aa0108e7d1d048c,db5d1639dec6cbebecf70a2c52b3683b,3514,99.0111,3.4,2
★1,Destined Marionette -ALIEN WORLD-,61b67e3178a4bf703180f4e5fe7386945558c653fa92456820f3e6a2bf225b0c,f84bde5b8bfe885ca9c7793e0fdf04aa,3648,97.8139,8.24,7
★1,Dream Rocket*[for Rea'ju],5a50a5778e8220d93c1da6f5a3dea2e5eccf5d0253b6b002201e3253126eab89,9a802d829114988fa78264f428a660f4,3100,99.7339,1.98,1
★1,duty,1864b1ef1a89de2982e7f4ca9cf7d0c3c0846494a255900a52e8915707670b9a,d063d3666b36cc14b176cd4438487dee,3072,97.3714,5.7,10
★1,Eleventh Hour (time limit soon! mix) [29Another],e9eb1421e01445a74c7160bf3588c256d6cbfae4a208304b60f3bcc46bed2bf6,98f2a9a05b16db52f1260e3b6812023f,3220,98.1754,5.14,5
★1,Elina (feat. Reislaufer)[HARD],e3cf4e91ca10580da33fb4376f001e317bcc89e6b8a56384df0538655444a3af,6d5b9c4409daada59c8968f9129cb789,3264,97.235,2.35,9
★1,ERIS MX,9f0e12898c9f62766e6d9ae5e666af8f6f2ba01225dfe9fdbbc8bfec0483b077,0108ff92119d48e0ca0e2eae1f3dffbf,3186,98.4542,4.58,4
★1,Espresso Shots [convert],d755d9e99a3a21f64c359999f905248441fd025338306eba3d712ce0acd52fc3,758dcee38a5931b3fb0d0a61feddb324,3254,97.8795,5.39,7
★1,Evangelize (Radio Edit) [PLANET],dba9f97dfa214716daccb36b6aa90cf43f25079a4aec52dbe2342468e6af9ee2,ba976b164c8d9e397f54191860b3622a,3540,99.6681,3,1
★1,Faceless Moon (Dante Must Die!),09a23fb5b5a6796436f8880954a2f55cd3683359d6d0d7e61e79c249504f841e,a5d55133fd47bf414da89de1f28f8415,2622,98.6079,5.08,3
